subject,model_1_connected,model_1_disconnected,model_2_connected,model_2_disconnected,model_3_connected,model_3_disconnected,model_4_connected,model_4_disconnected,model_5_connected,model_5_disconnected,model_6_connected,model_6_disconnected,model_7_connected,model_7_disconnected,model_8_connected,model_8_disconnected,model_9_connected,model_9_disconnected,model_10_connected,model_10_disconnected,idx_1,idx_2,idx_3,idx_4,idx_5,idx_6,idx_7,idx_8,idx_9,idx_10
53b98f20fdf99b472f4700e4,-521.531229285885,-521.288116394021,-521.525732545838,-521.282222036646,-521.150307027431,-520.898844088391,-521.606507018593,-521.355844700827,-508.776275271654,-508.711791412876,-373.206837620288,-369.533528714943,-521.522808983321,-521.276261956976,-521.523081490531,-521.276934929994,-521.522828870397,-521.276701823222,-521.14827674444,-520.896607867536,-385.335208,-384.767931,-316.742816,-320.604875,-304.092767,-320.992027,-367.21277,-367.136919,-366.735648,-315.181225
558fa9dffdf99b7ce2924662,-387.873513840775,-387.831435893252,-387.879266759705,-387.841493746132,-387.864437914921,-387.843829834981,-387.943254025907,-387.917479006974,-255.317835617388,-255.495641403019,-387.939990231934,-387.914812968074,-387.877482032615,-387.838949429424,-387.877562501841,-387.839033805307,-387.879386040636,-387.841614433201,-387.863783132242,-387.843721513192,-264.967685,-232.100666,-216.40238,-218.329521,-199.289727,-219.578521,-230.477944,-230.392624,-231.796456,-216.357946
5590a34cfdf99b729d4f69dc,-348.988553080739,-348.977519266177,-348.989956721472,-348.978318371668,-349.170488708108,-349.161572100228,-349.202490714198,-349.192684855473,-257.66006789882,-257.532899607181,-349.20325060894,-349.193590827592,-348.992624480704,-348.982673974343,-348.992633986053,-348.982683138034,-348.989962500536,-348.97832446962,-349.175151555146,-349.169248388805,-265.722571,-224.197266,-221.084734,-220.482328,-213.767868,-220.724743,-225.715407,-225.614772,-225.243011,-223.28073
5596a991fdf99b2d1e834690,-343.67800067812,-343.620187498235,-343.685143994588,-343.627611952768,-343.943808568897,-343.88488826834,-343.849919005229,-343.823048366516,-285.594957937329,-285.285401200244,-342.086277155783,-342.039785163916,-343.672811951684,-343.613554958794,-343.672812746848,-343.613556964427,-343.685144354893,-343.627611895439,-343.929463319238,-343.866385671121,-297.998817,-234.525507,-237.976426,-238.824074,-239.627568,-236.275524,-231.737712,-232.017592,-231.308654,-234.371365
55bcd160fdf99b1c4e4ae632,-434.352482236596,-434.073503267656,-434.362774063256,-434.085717807687,-434.028830988982,-433.780419761923,-433.934468857352,-433.671510558721,-339.941176494311,-340.103118269026,-400.062904567074,-399.875344539414,-434.36382256331,-434.085831423358,-434.363416382334,-434.085345471241,-434.363460045805,-434.085695119021,-434.016143918709,-433.773367990927,-300.485661,-293.045173,-269.855159,-272.441571,-263.549608,-257.816849,-293.885006,-292.025799,-294.041065,-273.480765
55cc7cfb74297e0005235c27,-510.068121785295,-510.022233651852,-510.071782382505,-510.031182785494,-510.050542067979,-510.028697442105,-510.372331981756,-510.322671204863,-510.523523253341,-510.465565182363,-347.096841987847,-342.711010174114,-510.070568684975,-510.027423864034,-510.070786006546,-510.027628320497,-510.07210504544,-510.029488474301,-510.050130493943,-510.027358824623,-445.614828,-400.482857,-316.564229,-317.380728,-319.831106,-315.614957,-400.271264,-397.835669,-400.534783,-318.793924
55eb04337480920010aa9e0d,-435.711691559476,-435.524031043539,-435.717801559678,-435.531504301927,-435.443548966464,-435.265925256978,-433.885626398101,-433.696274074225,-361.687862560176,-362.250334988805,-425.175956077758,-423.108993133045,-435.716092245699,-435.52700414779,-435.716123780252,-435.527481779107,-435.715886406562,-435.527180530815,-435.43889429809,-435.262175412869,-260.150537,-263.304663,-248.558689,-249.914997,-243.595628,-244.464484,-268.542761,-266.299168,-267.374051,-254.260335
562c2ff0733ea000111630df,-534.502327214965,-534.142393605379,-534.49839119905,-534.135198288851,-534.168365236074,-533.811611761787,-534.592299895421,-534.227036897576,-527.694789777892,-527.499604982612,-380.214969626284,-384.442184918498,-534.496396794878,-534.132387709124,-534.496469829478,-534.132907268465,-534.496331496643,-534.1298761387,-534.167375499339,-533.812806103251,-426.008643,-428.978199,-359.349655,-361.916441,-346.06048,-364.371155,-432.232066,-431.090225,-432.027121,-360.224996
562eb896733ea000051638c6,-438.753368073094,-438.436987059259,-438.74765257836,-438.427258517858,-438.074155650493,-437.763795254081,-437.620362798264,-437.289537590472,-336.883403451737,-337.68325391366,-427.212363587261,-427.921351520309,-438.745188651951,-438.423087466911,-438.745330035384,-438.423797208401,-438.744493830495,-438.420075948008,-438.063428570124,-437.756958748224,-340.668779,-316.641705,-284.579303,-280.680302,-259.142747,-287.358523,-314.618414,-314.644747,-316.281881,-283.022548
5658000ca9872d0011e1ba26,-543.972018035884,-543.793901538246,-543.990369983663,-543.811617445123,-543.873180479698,-543.711288119823,-544.092389771551,-543.933235528876,-544.298169337772,-544.110603061945,-381.159843862545,-383.13714341655,-543.978415319353,-543.801908757139,-543.980941994281,-543.80381816456,-543.980799407272,-543.803953306079,-543.855864654567,-543.698017385671,-444.477709,-436.582942,-353.500011,-344.16522,-344.803355,-347.171983,-432.302634,-435.838194,-432.686347,-347.251599
